date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2013-01-04 00:00:00,10.26,9.93,10.02,0.010081,10.26,9.93,,
2013-01-07 00:00:00,10.34,10.01,10.32,0.02994,10.34,9.93,,
2013-01-08 00:00:00,10.35,10.06,10.12,-0.01938,10.35,9.93,1.0,9.72774698267
2013-01-09 00:00:00,10.18,9.98,10.14,0.001976,10.35,9.93,1.0,9.74696901071
2013-01-10 00:00:00,10.21,9.99,10.04,-0.009862,10.35,9.93,1.0,9.65084440232
2013-01-11 00:00:00,10.12,9.77,9.82,-0.021912,10.35,9.77,1.0,9.43937509978
2013-01-14 00:00:00,10.36,9.75,10.35,0.053971,10.36,9.75,0.0,9.43937509978
2013-01-15 00:00:00,10.41,10.22,10.33,-0.001932,10.41,9.75,0.0,9.43937509978
2013-01-16 00:00:00,10.32,9.98,10.12,-0.020329,10.41,9.75,0.0,9.43937509978
2013-01-17 00:00:00,10.17,9.88,10.03,-0.008893,10.41,9.75,0.0,9.43937509978
2013-01-18 00:00:00,10.25,9.97,10.16,0.012961,10.41,9.75,0.0,9.43937509978
2013-01-21 00:00:00,10.44,10.05,10.4,0.023622,10.44,9.75,0.0,9.43937509978
2013-01-22 00:00:00,10.76,10.25,10.48,0.007692,10.76,9.75,0.0,9.43937509978
2013-01-23 00:00:00,10.62,10.37,10.6,0.01145,10.76,9.75,1.0,9.54745594467
2013-01-24 00:00:00,11.04,10.53,10.61,0.000943,11.04,9.75,1.0,9.55645919563
2013-01-25 00:00:00,10.68,10.53,10.66,0.004713,11.04,9.75,1.0,9.60149878782
2013-01-28 00:00:00,11.21,10.65,11.18,0.04878,11.21,9.75,1.0,10.0698598987
2013-01-29 00:00:00,11.47,11.11,11.3,0.010733,11.47,9.75,1.0,10.177939705
2013-01-30 00:00:00,11.36,11.09,11.24,-0.00531,11.47,9.75,1.0,10.1238948451
2013-01-31 00:00:00,11.5,11.12,11.48,0.021352,11.5,9.75,1.0,10.3400602479
2013-02-01 00:00:00,11.97,11.31,11.95,0.040941,11.97,9.75,1.0,10.7633926545
2013-02-04 00:00:00,12.27,11.83,12.07,0.010042,12.27,9.75,1.0,10.8714786435
2013-02-05 00:00:00,12.0,11.65,11.87,-0.01657,12.27,9.75,1.0,10.6913382424
2013-02-06 00:00:00,12.05,11.72,12.0,0.010952,12.27,9.75,1.0,10.8084297788
2013-02-07 00:00:00,12.02,11.17,11.43,-0.0475,12.27,9.75,1.0,10.2950293643
2013-02-08 00:00:00,11.45,11.06,11.34,-0.007874,12.27,9.75,1.0,10.2139663031
2013-02-18 00:00:00,11.5,11.19,11.26,-0.007055,12.27,9.88,1.0,10.1419067709
2013-02-19 00:00:00,11.31,11.07,11.1,-0.01421,12.27,9.88,1.0,9.99779027564
2013-02-20 00:00:00,11.12,10.58,10.81,-0.026126,12.27,9.88,1.0,9.7365880069
